"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Background task that logs the user into the INGO application","25501","BACKGROUND: Log in as Guest user","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:43:08 GMT 2025","passed","Thu Mar 27 06:43:34 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","logInAsGuestUser"
"","206825","Verify the fuel types as filter for Store locator functionality with Swedish User","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 07:04:56 GMT 2025","passed","Thu Mar 27 07:08:23 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","userTriesToFilterFuelTypesForStoreLocatorSwedishUser"
"SE New user tries to sign-up via email","213093","SE New user tries to sign-up via email","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 07:07:24 GMT 2025","passed","Thu Mar 27 07:10:57 GMT 2025","testcases.OnboardingTests","GMAP INGO Tests | Onboarding","testcases.OnboardingTests","newUserTriesToSignUpViaEmailForSweden"
"GMAP user accepts ingo terms while signing  into  INGO app","86220","[INGO][Sign in/Sign up] DK INGO enrollment by GMAP user without terms_ingo accepted","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 07:24:35 GMT 2025","passed","Thu Mar 27 07:26:01 GMT 2025","testcases.OnboardingTests","GMAP INGO Tests | Onboarding","testcases.OnboardingTests","gmapUserDKTriesToSignInToIngoAppAndAcceptsIngoTerms"
"","132826","User gets real-time suggestions as they type in Store type ahead search","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:55:18 GMT 2025","passed","Thu Mar 27 06:57:31 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","userGetsRealTimeSuggestionsAsTheyType"
"Guest user cannot see the Fuel Statistics component","38697","Guest user cannot see the Fuel Statistics component","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:46:38 GMT 2025","passed","Thu Mar 27 06:47:17 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","guestUserCannotSeeTheFuelStatisticsComponent"
"User is able to see the fuel types and car wash icons","70481","User is able to see the fuel types and car wash service on store widget","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:48:01 GMT 2025","passed","Thu Mar 27 06:49:12 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","checkFuelTypesAndCarWash"
"User Clicks on Station Widget on Home and redirects to station detail page","91167","User clicks on station widget on home screen to redirect to station details screen","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:49:30 GMT 2025","broken","Thu Mar 27 06:51:02 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","clickOnStationWidget"
"","24893","User tries to view the stores by searching with a store name in search bar and if the store is not present","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:48:36 GMT 2025","passed","Thu Mar 27 06:49:01 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","noStoreWhenSearchedWithOtherStoreName"
"User can view the Invoice of their purchases ","137050","User not having invoices in Invoice Screen","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:45:47 GMT 2025","passed","Thu Mar 27 06:48:04 GMT 2025","testcases.InvoiceTest","GMAP INGO Tests | Invoices","testcases.InvoiceTest","userWithNoInvoices"
